Date,close,high,low,open,Volume BTC,Volume USD
2018-01-07,15311.2,15940.39,15268.8,15674.79,188.83,2931252.16
2018-01-08,14458.6,15400,14186,14984.86,386.1,5686008.52
2018-01-09,14860.17,14860.17,13512.54,14458.6,423.33,6018452.34
2018-01-10,13307.7,14934.3,12830.9,14860.17,1542.53,20922062.58
2018-01-11,13817.68,14118,12902.6,13307.7,456.05,6216035.21
2018-01-12,14215.23,14541.48,13817.68,13817.68,293.86,4162722.63
2018-01-13,13640.1,14350,13180.34,14215.23,280.85,3850723.55
2018-01-14,13574.89,14300,13453.25,13640.1,251.23,3474173.85
2018-01-15,11405.7,13625.48,10000,13574.89,1313.37,15640731.58
2018-01-16,11153.62,11700.9,9382.9,11405.7,2150.97,23001552.37
2018-01-17,11342,12064.81,10797.9,11153.62,1064.56,12236334.26
2018-01-18,11575.5,12006.1,11131.2,11342,664.96,7618941.02
2018-01-19,12758.91,12995.85,11548.9,11575.5,682.45,8442424.94
2018-01-20,11504.1,12774.94,11131.15,12758.91,984.88,11516467.88
2018-01-21,10827.1,11861.9,10072.62,11504.1,1077.25,11686036.15
2018-01-22,10816.8,11347.6,10027.9,10827.1,1122.85,12079984.68
2018-01-23,11313.08,11392.09,10500,10816.8,760.26,8355998
2018-01-24,11156.2,11656.2,10906.2,11313.08,478.7,5418203.12
2018-01-25,11091.3,11595.29,10394.24,11156.2,757.33,8372025.68
2018-01-26,11415.8,11551.5,10881.35,11091.3,618.99,6944426.42
2018-01-27,11653.7,11900,11385.5,11415.8,265.2,3088311.67
2018-01-28,11135.7,11760,11004.6,11653.7,500.55,5637810.96
2018-01-29,9970,11173.2,9776.78,11135.7,1032.67,10563452.83
2018-01-30,10160.6,10300,9654.32,9970,778.54,7708311.13
2018-01-31,9027.74,10179.9,8425.5,10160.6,1617.78,14837438.58
2018-02-01,8815.2,9076,7654.7,9027.74,2828.92,24246174.2
2018-02-02,9192.5,9460,8153.3,8815.2,1042.73,9307863.64
2018-02-03,8170.93,9344.77,7844.7,9192.5,1227.1,10474974.14
2018-02-04,6904.31,8339.7,6572,8170.93,2193.57,16111257.89
2018-02-05,7700,7981.5,6008.8,6904.31,3016.51,20477760.69
2018-02-06,7554.9,8587.5,7207.8,7700,995.76,7810908.31
2018-02-07,8245.4,8615.76,7554.9,7554.9,534.33,4361702.56
2018-02-08,8696,8727.1,7724.7,8245.4,410.16,3368809.77
2018-02-09,8547.91,9041.7,8159.9,8696,350.11,3021785.86
2018-02-10,8069.32,8552.82,7855,8547.91,298.39,2443885.51
2018-02-11,8891.4,8977.3,8069.32,8069.32,293.65,2521768.65
2018-02-12,8525.4,8945.9,8376.1,8891.4,246.56,2119635.1
2018-02-13,9486.71,9500,8525.4,8525.4,198.79,1804950.11
2018-02-14,10063.02,10257.4,9360.8,9486.71,283.74,2787090.77
2018-02-15,10170,10301.39,9740.41,10063.02,260,2611551.08
2018-02-16,11080.1,11134.95,10057.6,10170,304.73,3237725.42
2018-02-17,10390.65,11313.21,10175.9,11080.1,384.97,4121919.41
2018-02-18,11164,11261.7,10289.7,10390.65,320.07,3471000.75
2018-02-19,11240.9,11793.1,11140,11164,301.79,3461423.08
2018-02-20,10446.4,11261.75,10264.2,11240.9,371.81,4011987.33
2018-02-21,9832.23,10911.8,9753.7,10446.4,407.65,4164726.6
2018-02-22,10153.9,10410.4,9562.5,9832.23,184.97,1837061.25
2018-02-23,9682.7,10517,9400,10153.9,270.91,2687831.94
2018-02-24,9580.6,9875,9230.6,9682.7,132.16,1266307.06
2018-02-25,10297.54,10424.99,9387,9580.6,199.9,1990891.25
2018-02-26,10534.38,10833.2,10136.3,10297.54,224.46,2362295.65
2018-02-27,10305,11042.2,10256.6,10534.38,240.27,2550107.36
2018-02-28,10897.9,11047.93,10225,10305,173.47,1850393.72
2018-03-01,11013.29,11180.6,10773.9,10897.9,177.04,1944470.1
2018-03-02,11436.9,11491.3,11012.18,11013.29,154.88,1750930.94
2018-03-03,11481,11500,11042.3,11436.9,95.19,1070747.9
2018-03-04,11417.1,11644.4,11406.5,11481,64.2,739592.32
