Date,Close,Open,High,Low,Volume BTC
02/20/18,11182,11160,11768.4,11076.5,4410
02/21/18,10444,11190,11285,10206,6050
02/22/18,9800,10444,10974.8,9712,6360
02/23/18,10140,9874.9,10432,9605,4330
02/24/18,9699.5,10140,10510,9352.1,4040
02/25/18,9539,9698,9844.9,9262,2250
02/26/18,10300,9608,10450,9350,3780
02/27/18,10628,10300,10874,10131,3690
02/28/18,10330,10605.1,11111,10293.9,3520
03/01/18,10933,10293.9,11090,10240,3410
03/02/18,11050,10942,11180,10800,2940
03/03/18,11483,11087,11581.4,11056,2230
03/04/18,11520,11475.4,11520,11055,1680
03/05/18,11495,11512.9,11714.1,11390,1910
03/06/18,10731,11483,11483,10561,3710
03/07/18,9865.1,10731,10910.5,9441.1,7170
03/08/18,9240.8,9887,10100,9100.1,4680
03/09/18,9240,9277,9396.9,8350,7980
03/10/18,8750.5,9240,9532,8700.5,4410
03/11/18,9555,8750.5,9701,8460.5,4790
03/12/18,9150.4,9555,9889.1,8808,5190
03/13/18,9157.9,9100,9448,8850,3650
03/14/18,8189,9130,9325,7937.5,5950
03/15/18,8292.9,8204.9,8400,7666,6140
03/16/18,8275,8292.9,8600,7917,4520
03/17/18,7857,8267,8360.8,7727.7,3320
03/18/18,8200,7857,8295,7330,7310
03/19/18,8601,8200,8710,8102,5610
03/20/18,8903,8593.5,9020.4,8320,4750
03/21/18,8895,8890,9178,8730,3880
03/22/18,8725,8890.2,9100,8476.9,4100
03/23/18,8892.3,8727,8892.3,8301,2930
03/24/18,8514.5,8900,8989.9,8509.1,2920
03/25/18,8466,8514.5,8668.8,8375.1,2260
03/26/18,8125,8465,8510.6,7850,3650
03/27/18,7771,8131.3,8214,7730,2860
03/28/18,7953,7775.5,8098,7731,2150
03/29/18,7084,7950,7968,6925,5940
03/30/18,6850.3,7084,7280,6602,6200
03/31/18,6911,6850.5,7198,6784.1,3160
04/01/18,6810,6911,7032.3,6441,3610
04/02/18,7050,6810,7122,6754.9,2570
04/03/18,7401.8,7068,7499,7002,3460
04/04/18,6803.5,7400,7440,6690,4200
04/05/18,6740,6767.1,6899.4,6570.1,3720
04/06/18,6597.4,6780.9,6830.5,6506,2180
04/07/18,6869,6597.4,7065,6571,3490
04/08/18,7004.4,6870,7115,6870,1780
04/09/18,6769,7004.4,7173,6622.4,3150
04/10/18,6840,6769,6890,6659.8,1900
04/11/18,6974,6840,6980,6789,2000
04/12/18,7905.8,6974,7972.2,6738.2,8410
04/13/18,7860.4,7910,8212,7750,4730
04/14/18,8005,7860.4,8178,7809.9,2300
04/15/18,8359.2,8005,8414,8003.6,2500
04/16/18,8068.8,8359.2,8412.2,7889,3210
04/17/18,7897.9,8063,8179.5,7841.9,2660
04/18/18,8178,7897.9,8240.5,7870,2310
04/19/18,8267,8170,8310,8108.3,2410
04/20/18,8851,8285,8915,8190,3600
04/21/18,8910,8851,9000,8592,3340
04/22/18,8805,8887.7,9020,8751,2240
04/23/18,8935,8805,8993.9,8774.2,1410
04/24/18,9650.9,8945,9735,8897.3,3560
04/25/18,8865,9635,9777,8760.1,6760
04/26/18,9285,8870,9302.9,8650,3620
04/27/18,8950,9285,9377,8920.5,2860
04/28/18,9350,8940,9437.1,8888.9,2340
04/29/18,9425.7,9350,9560,9188,1790
04/30/18,9254,9400,9456.8,9130,1550
05/01/18,9096,9254,9254,8829,2660
05/02/18,9232,9082.5,9280,8992,1350
05/03/18,9750.3,9238,9824.6,9165,2520
05/04/18,9711,9750.4,9820.1,9544,1490
05/05/18,9851.1,9710,9980,9702.3,1600
05/06/18,9619,9851.1,9980,9419.9,1960
05/07/18,9392.9,9639,9670,9205,1970
05/08/18,9200,9364,9469.4,9050,1750
05/09/18,9325,9204.5,9377,8951,1330
05/10/18,9000.2,9326.1,9392.9,8978,1870
05/11/18,8382.3,8991.2,9029,8354.2,4730
