Date,Close (8 PM EST),high,low,open,Volume BTC,Volume USD
2018-01-01,14678.94,15257.53,12910.58,13443.41,16299.67,229138844.1
2018-01-02,15155.62,15500,14546.28,14678.94,12275,183639413.7
2018-01-03,15143.67,15430.27,14192.37,15155.62,15004.02,222160244.5
2018-01-04,16928,17200,14810,15143.67,16248.91,259695892.9
2018-01-05,17149.67,17234.99,16220,16928,9501.02,158389594.5
2018-01-06,16124.02,17149.97,15707.16,17149.67,8632.81,141555094.2
2018-01-07,14999.99,16300,13900,16124.02,16684.13,251991683.9
2018-01-08,14403.51,15367.18,14123.97,14999.99,13913.52,204579121.6
2018-01-09,14890.02,14900,13412,14403.51,18479.01,261210687
2018-01-10,13243.83,14973.07,12800,14890.02,19630.08,266846190.8
2018-01-11,13781.41,14152.19,12807.27,13243.83,13433.08,183399343.5
2018-01-12,14197.78,14619.1,13781.41,13781.41,7488.99,106595650.1
2018-01-13,13647.99,14365.81,13072.22,14197.78,7588.64,102783826.7
2018-01-14,13607.04,14394.36,13429.25,13647.99,9444.64,131049852.4
2018-01-15,11386.34,13607.04,10162,13607.04,38789.88,457725763.4
2018-01-16,11191.35,11794.07,9222,11386.34,41356.19,433168120.1
2018-01-17,11247.57,12146,10693,11191.35,22195.26,256082650
2018-01-18,11552,12050.39,11025.18,11247.57,13203.26,151834406.4
2018-01-19,12775.99,13052.12,11515.94,11552,10324.06,128912075.5
2018-01-20,11558.87,12791.88,11100,12775.99,11596.44,137150604.6
2018-01-21,10808.99,11910.78,10028.41,11558.87,17067.73,186028930.6
2018-01-22,10851.82,11409.87,9927.54,10808.99,17250.18,184369293.7
2018-01-23,11400.96,11500,10488.13,10851.82,11646.79,128825119.7
2018-01-24,11155.54,11741.82,10868.57,11400.96,10212.92,115421975
2018-01-25,11092.95,11635,10263.32,11155.54,15074.67,164020352.5
2018-01-26,11446.54,11630.47,10815.84,11092.95,10309.81,116376809.5
2018-01-27,11685.58,11989.15,11360.52,11446.54,9956.09,116531522.5
2018-01-28,11162.62,11820.01,10991,11685.58,9996.36,112806531.8
2018-01-29,9971,11222.36,9731.2,11162.62,21082.19,219169216.4
2018-01-30,10149,10324,9514.96,9971,12743.51,126723437.3
2018-01-31,8998.99,10187.56,8455,10149,26356.59,243067799.6
2018-02-01,8838.83,9096.79,7625.25,8998.99,51005.6,426760116.1
2018-02-02,9225.86,9491.2,8170.71,8838.83,16208.37,144713399.5
2018-02-03,8191,9350.09,7825,9225.86,19110.67,162005632.6
2018-02-04,6874.27,8335.56,6600,8191,46544.43,342210634.7
2018-02-05,7737.37,8150,5920.72,6874.27,70961.37,487504446
2018-02-06,7588.01,8649,7213.8,7737.37,32640.89,260674865.8
2018-02-07,8259.76,8644.36,7565.5,7588.01,22746.39,187157997.7
2018-02-08,8693.98,8779.62,7753.32,8259.76,18418.12,152040059.9
2018-02-09,8560,9090.8,8170.86,8693.98,14670.56,127082570.7
2018-02-10,8067,8560,7820,8560,12711.79,103542540.6
2018-02-11,8899,8995,8067,8067,15071.04,130557481.6
2018-02-12,8522.99,8951.89,8360.13,8899,11374.52,97689771.64
2018-02-13,9490.98,9515,8504.57,8522.99,17468.74,158839393.3
2018-02-14,10018,10234,9350,9490.98,21036.34,206814744.9
2018-02-15,10196,10300,9707.51,10018,11857.64,118860367.7
2018-02-16,11101,11135.83,10053.5,10196,14511.17,155314935.2
2018-02-17,10421.06,11300,10153.15,11101,17623.08,188724919.3
2018-02-18,11173,11262.48,10307.51,10421.06,11698.26,127802568.1
2018-02-19,11233.41,11780,11080.37,11173,15880.91,182156478
2018-02-20,10449.4,11275.74,10256,11233.41,19959.68,215353691.9
2018-02-21,9843.34,10935,9731.2,10449.4,20204.69,206051152.4
2018-02-22,10166.1,10405.3,9600,9843.34,16044.04,160782973.1
2018-02-23,9689.99,10540.63,9373.48,10166.1,13972.71,137805304.5
2018-02-24,9590.04,9883.41,9260,9689.99,11037.18,105367249.3
2018-02-25,10324.7,10461.97,9376.34,9590.04,16156.81,162306362.4
2018-02-26,10566.3,10850,10150,10324.7,10408.48,110086762.8
2018-02-27,10314.9,11064.75,10255.07,10566.3,10490.75,111457734.8
2018-02-28,10903.13,11090,10223.41,10314.9,9481.67,101712406.7
2018-03-01,11029.99,11175,10774.01,10903.13,8329.1,91455982.5
2018-03-02,11445,11503.24,11022.85,11029.99,7786.27,88241259.78
2018-03-03,11463.27,11511,11054.91,11445,6831.63,77060624.28
2018-03-04,11419.24,11688,11383.66,11463.27,9933.68,114638102.2
2018-03-05,10723.76,11420.01,10560.19,11419.24,14734.42,161507885.7
2018-03-06,9913.03,10911.78,9450,10723.76,26116.51,264099759.8
2018-03-07,9285.32,10150,9078.95,9913.03,22522.43,217370120.9
2018-03-08,9230,9420.39,8366,9285.32,29014.17,257069817.6
2018-03-09,8791.47,9514.96,8697,9230,12886.59,118146982.5
2018-03-10,9535.04,9768.37,8450,8791.47,16407.54,149758874.8
2018-03-11,9120.75,9892,8742.07,9535.04,18751.02,175103380.1
2018-03-12,9142.32,9482.79,8830,9120.75,16001.48,146461539.3
2018-03-13,8196.69,9356.14,7948,9142.32,21191.02,182210730.9
2018-03-14,8265.05,8425,7682,8196.69,18387.61,148610946.9
2018-03-15,8258.54,8613.06,7914.08,8265.05,16498.62,137219222.8
2018-03-16,7860.83,8356.4,7730.23,8258.54,12048.67,97294029.18
2018-03-17,8188.24,8324.92,7325.37,7860.83,19547.36,150315447.6
2018-03-18,8596.93,8718.74,8114.17,8188.24,19396.09,162448296.2
2018-03-19,8904.02,9051,8313.01,8596.93,13454.82,116496171
2018-03-20,8893.79,9188.1,8754.83,8904.02,12101,108594771.1
2018-03-21,8704.67,9099.59,8503.52,8893.79,12587.63,109923828.1
2018-03-22,8920.79,8920.79,8265,8704.67,13749.78,117134344.5
