Date,Close (8 PM EST),high,low,open,Volume BTC,Volume USD
2018-01-01,14740.09,15249.97,12851,13338.41,8822.9,124203791.3
2018-01-02,15148.92,15400,14583.47,14740.09,8551.32,127985170.2
2018-01-03,15199.99,15503.59,14000,15148.92,12450.53,184306290.7
2018-01-04,16945.5,17124.44,14800,15199.99,11519.64,184239283.3
2018-01-05,17175,17236.46,16298.31,16945.5,5294.46,88436511.04
2018-01-06,16150.15,17175.01,15741.08,17175,5625.07,92772910.39
2018-01-07,14980.01,16250,13825.22,16150.15,12623.87,190764811.7
2018-01-08,14477.55,15419.24,14161.55,14980.01,7721.18,114072096.1
2018-01-09,14929.39,14933.42,13500,14477.55,9009.1,127693435.2
2018-01-10,13301.77,14970,12810,14929.39,10854.39,147562255.6
2018-01-11,13815.26,14106,12900,13301.77,8668.84,118064269.5
2018-01-12,14174.38,14550,13803.8,13815.26,4901.76,69653074.46
2018-01-13,13626.27,14310,13100,14174.38,3985.27,54199076.03
2018-01-14,13597.6,14283.26,13400,13626.27,4552.77,62791167.64
2018-01-15,11399.01,13601.25,10001,13597.6,20640.71,242184935.9
2018-01-16,11240.19,11850,9125,11399.01,24459.65,258538366.3
2018-01-17,11298,12110,10677.33,11240.19,16661.99,191729689
2018-01-18,11535.56,12018.39,11048.66,11298,9545.86,109669984.7
2018-01-19,12744.98,12999,11528.68,11535.56,6862.82,85011809.92
2018-01-20,11501,12774.17,11112,12744.98,5898.27,69104786.19
2018-01-21,10780,11865,10026.03,11501,11158.71,120643064.7
2018-01-22,10820.81,11372.51,9940,10780,10779.7,115208955.5
2018-01-23,11346.58,11480.01,10500,10820.81,8410.16,92514894.51
2018-01-24,11114,11693.7,10805.56,11346.58,6974.39,78666560.11
2018-01-25,11091.99,11600,10300,11114,9023.48,98917678.69
2018-01-26,11372.85,11535,10821.76,11091.99,4717.82,52981583.96
2018-01-27,11633.11,11878.1,11312.2,11372.85,4203.83,48573754.38
2018-01-28,11130.34,11698,10900,11633.11,5693.42,63639125.48
2018-01-29,10007.42,11168.7,9734.63,11130.34,11594.08,120154143.9
2018-01-30,10112.6,10299.99,9555,10007.42,9378.99,93072172.84
2018-01-31,9000.73,10164.68,8411.11,10112.6,17746.53,162257631.6
2018-02-01,8845.07,9090,7603,9000.73,21886.74,185823833.1
2018-02-02,9221.14,9494.86,8123.62,8845.07,7572,66978512.91
2018-02-03,8162.94,9353.45,7847.39,9221.14,8182.52,68994814.69
2018-02-04,6892.67,8334,6500,8162.94,22800.02,166315391.2
2018-02-05,7682.75,7944,5931.34,6892.67,29967.25,202478482.7
2018-02-06,7582.76,8589,7200,7682.75,15859,125575748.8
2018-02-07,8200,8638.99,7556,7582.76,12127.69,99256298.44
2018-02-08,8697.78,8728.53,7750,8200,9425.92,77002096.64
2018-02-09,8553.5,9069,8146.78,8697.78,6004.8,51732287.49
2018-02-10,8073.9,8576.42,7824.48,8553.5,5306.74,43469260.55
2018-02-11,8900,8985,8070.68,8073.9,5466.43,47208118.55
2018-02-12,8519.07,8940,8379,8900,4953.3,42654131.94
2018-02-13,9480.27,9510,8519.07,8519.07,8789.94,80166786.59
2018-02-14,10017.18,10259.29,9353,9480.27,8989.83,88764794.27
2018-02-15,10183.63,10307.6,9710,10017.18,5439.6,54605905.83
2018-02-16,11100,11140.45,10039.73,10183.63,4311.47,45959466.87
2018-02-17,10403.01,11270,10150,11100,6902.75,74029051.97
2018-02-18,11166.92,11250,10315,10403.01,3764.29,40969900.17
2018-02-19,11206.22,11750,11084.99,11166.92,6641.33,76268926.96
2018-02-20,10475,11282.53,10248,11206.22,11441.35,122866113.7
2018-02-21,9829.96,10939.9,9740,10475,10771.54,109881832
2018-02-22,10161.62,10400,9595,9829.96,6470.6,64650739.27
2018-02-23,9697.21,10534.77,9388.97,10161.62,5375.32,53590192.23
2018-02-24,9595,9870,9290,9697.21,3491.7,33472164.84
2018-02-25,10300,10433.88,9399,9595,5550.37,55993158.68
2018-02-26,10562.46,10850,10117,10300,5538.64,58574042.36
2018-02-27,10296.86,11050,10260.85,10562.46,6013.76,63890938.06
2018-02-28,10900.95,11100,10200,10296.86,5125.81,54839997.42
2018-03-01,11027.77,11200,10779.44,10900.95,4046.9,44474264.7
2018-03-02,11433.72,11484.98,11026.91,11027.77,1842.01,20876860.93
2018-03-03,11467.19,11500,11060.01,11433.72,1874.53,21117794.79
2018-03-04,11400.01,11650.01,11400,11467.19,2939.43,33912541.93
2018-03-05,10696.87,11401.64,10563.93,11400.01,5128.2,56123956.6
2018-03-06,9884.26,10898.99,9375,10696.87,10297.81,103482427.2
2018-03-07,9295.77,10100,9050,9884.26,8774.36,83652551.76
2018-03-08,9257,9409.21,8370,9295.77,11095.65,98510525.38
2018-03-09,8769.2,9515.21,8731,9257,4581.91,42340279.46
2018-03-10,9530.94,9772.42,8544.95,8769.2,4575.06,42306636.51
2018-03-11,9105,9898,8760,9530.94,7429.99,69137084.58
2018-03-12,9146.18,9500,8850,9105,6443.94,58856352.69
2018-03-13,8198.82,9366.16,7932.65,9146.18,9260.37,79124355.48
2018-03-14,8266.99,8416.92,7675.35,8198.82,10294.58,82957878.18
2018-03-15,8265.81,8607.11,7900.01,8266.99,6576.73,54696030.34
2018-03-16,7870.99,8350,7737.49,8265.81,4357.88,35033565.68
2018-03-17,8197.29,8297,7319,7870.99,9669.52,74104522.09
2018-03-18,8599.01,8744.68,8119.7,8197.29,8472.64,71070074.08
2018-03-19,8904.23,9037,8327.35,8599.01,7272.77,63129514.46
2018-03-20,8902.53,9180,8755,8904.23,6594.03,59212481.78
2018-03-21,8710.44,9100,8494.62,8902.53,6485.99,56753217.52
2018-03-22,8925,8925.01,8288.01,8710.44,6207.75,52936947.26
2018-03-23,8540.33,9000,8500,8925,3002.8,26488822.66
2018-03-24,8457.04,8687.3,8375.5,8540.33,3802.87,32383644.87
2018-03-25,8149.46,8495.73,7827.95,8457.04,6902.21,56193530.15
2018-03-26,7794.46,8221.79,7753,8149.46,6505.42,51702143.63
2018-03-27,7941.87,8095,7749.53,7794.46,5099.35,40255451.21
2018-03-28,7086.6,7965,6903,7941.87,12113.05,90220518.11
2018-03-29,6838.71,7271.9,6600,7086.6,11373.39,77813320.93
2018-03-30,6920.5,7242.47,6788.51,6838.71,4842.85,33961333.43
2018-03-31,6811.02,7043.5,6442.49,6920.5,5962.82,40038020.94
2018-04-01,7049.99,7113.01,6766.84,6811.02,5330.83,37254176.59
2018-04-02,7418.53,7500,7016.87,7049.99,7164.62,52515668.76
2018-04-03,6794.31,7421.08,6707.5,7418.53,6865.47,48325954.25
2018-04-04,6777,6923.01,6574.3,6794.31,7331.11,49348791.2
2018-04-05,6564.06,6848,6512.79,6777,5906.65,39214142.92
2018-04-06,6895.99,7069.18,6592.94,6592.94,2337.59,16178550.92
2018-04-07,7022.72,7100,6889.5,6895.99,2494.65,17460763.19
2018-04-08,6771.01,7176.99,6612.35,7022.72,4793.44,32762618.08
2018-04-09,6830.68,6876.33,6651.12,6771.01,2802.32,19003389.65
2018-04-10,6939.43,6966.84,6801.68,6830.68,2866.25,19778338.85
2018-04-11,7920.39,8076.83,6766.18,6939.43,9957.83,74604260
2018-04-12,7875.94,8223.58,7732.43,7920.39,7669.83,61464491.31
2018-04-13,7998.07,8175.86,7820.67,7875.94,2126.88,17016841.31
2018-04-14,8357.43,8413.43,7998.07,7998.07,2302.77,18994463.65
2018-04-15,8052.27,8415,7900,8357.43,4734.74,38358033.46
2018-04-16,7894,8165.07,7820.01,8052.27,3078.54,24605816.51
2018-04-17,8167,8227.32,7880,7894,3126.42,25187382.64
2018-04-18,8269.3,8295.73,8090,8167,2787.59,22906354.94
2018-04-19,8855.49,8932.16,8215,8269.3,4993.68,42325280.82
